node,out_degree_centrality,in_degree_centrality,katz_centrality,closeness_centrality,betweenness_centrality
Cultivar,0.0007,0.0094,0.011,0.3278,0.0
Cultural_diversity,0.0012,0.0002,0.0072,0.2649,0.0
Cultural_identity,0.0012,0.0017,0.0091,0.3477,0.0
Culture,0.0143,0.0232,0.0267,0.4424,0.0018
Curium,0.0062,0.0027,0.0082,0.276,0.0
Currency,0.0054,0.0704,0.0859,0.4804,0.0018
Cyanocobalamin,0.004,0.0012,0.0075,0.267,0.0001
Cyberpunk,0.0044,0.001,0.0075,0.2841,0.0
Cyclops,0.0022,0.0022,0.008,0.3074,0.0
Cymbopogon,0.003,0.0027,0.008,0.2659,0.0
Cyprus,0.0146,0.024,0.0309,0.4209,0.0014
Cyrus_the_Great,0.0057,0.002,0.009,0.3361,0.0
Cystic_fibrosis,0.0049,0.0017,0.0078,0.3072,0.0001
Czech_Republic,0.0084,0.0244,0.0305,0.4229,0.0003
Dál_Riata,0.0044,0.003,0.0084,0.3144,0.0001
Düsseldorf,0.0069,0.0025,0.0099,0.3537,0.0001
DNA,0.0077,0.023,0.0197,0.4113,0.0023
DNA_repair,0.0032,0.0017,0.0081,0.3189,0.0
DVD,0.001,0.0146,0.0126,0.344,0.0
Dada,0.0064,0.0027,0.0088,0.3367,0.0
Dakar,0.0052,0.0032,0.0099,0.35,0.0001
"Dakota,_Minnesota_and_Eastern_Railroad",0.0032,0.0002,0.0072,0.2178,0.0
"Dallas,_Texas",0.0096,0.0064,0.0121,0.382,0.0005
Dam,0.0064,0.0086,0.0117,0.3614,0.0004
Damascus,0.0089,0.0096,0.0149,0.3796,0.0006
Damascus_steel,0.0049,0.0005,0.0075,0.3137,0.0
Damon_Hill,0.003,0.0012,0.0089,0.354,0.0005
Dance,0.0067,0.0067,0.0117,0.3653,0.0002
Dandelion,0.0052,0.0015,0.0078,0.2939,0.0002
Daniel_Day-Lewis,0.0022,0.0005,0.0074,0.2976,0.0001
Daniel_Ellsberg,0.0035,0.0002,0.0072,0.2491,0.0
Danske_Statsbaner,0.002,0.0002,0.0076,0.3201,0.0
Dante_Alighieri,0.0037,0.0094,0.0126,0.3632,0.0001
Danube,0.0091,0.0106,0.0162,0.3721,0.0001
Darfur_conflict,0.0074,0.003,0.0098,0.3413,0.0001
Dark_Ages,0.0059,0.0062,0.0138,0.3838,0.0001
Darling_River,0.0015,0.0007,0.0073,0.2794,0.0
Darmstadtium,0.003,0.0015,0.0078,0.2689,0.0
Darth_Vader,0.0035,0.0015,0.0076,0.2504,0.0
Dartmoor,0.0017,0.0012,0.0076,0.2935,0.0
Das_Kapital,0.0022,0.0012,0.0079,0.3113,0.0
Data_Encryption_Standard,0.0012,0.001,0.0074,0.2542,0.0
David_Attenborough,0.0089,0.0007,0.0075,0.298,0.0001
David_Beckham,0.0052,0.0015,0.0076,0.2822,0.0
David_Cameron,0.0143,0.0017,0.0079,0.2976,0.0001
David_Copperfield_(novel),0.003,0.001,0.0075,0.2868,0.0
David_Hilbert,0.0032,0.0027,0.0095,0.3564,0.0001
David_Hume,0.0089,0.0079,0.0125,0.361,0.0003
David_Livingstone,0.0044,0.0027,0.009,0.3395,0.0001
Davis_Cup,0.0131,0.0037,0.0088,0.3224,0.0003
Day,0.0047,0.0173,0.0143,0.3554,0.001
Dayuan,0.0027,0.0002,0.0072,0.1977,0.0002
Dead_Sea,0.0119,0.0044,0.01,0.3494,0.0006
Dead_Sea_scrolls,0.0035,0.0007,0.0075,0.2984,0.0
Death_Valley_National_Park,0.0128,0.001,0.0074,0.283,0.0001
Decade_Volcanoes,0.0069,0.0007,0.0075,0.3051,0.0001
Deconstructivism,0.0027,0.0005,0.0073,0.2527,0.0
Definition_of_planet,0.0077,0.0022,0.008,0.281,0.0
Deinonychus,0.003,0.0015,0.0076,0.2681,0.0
Deity,0.0054,0.0077,0.0121,0.3709,0.0005
Delhi,0.0101,0.0099,0.013,0.3656,0.0003
Deluge_(mythology),0.0074,0.0027,0.0093,0.3462,0.0004
Demand_Note,0.003,0.0002,0.0074,0.3057,0.0
Democracy,0.0109,0.0358,0.0401,0.4416,0.0015
Democratic_Action_Party,0.0005,0.0007,0.0073,0.2387,0.0
Democratic_Republic_of_the_Congo,0.0358,0.018,0.023,0.3957,0.0018
Demosthenes,0.0077,0.0017,0.008,0.3132,0.0001
Denis_Law,0.0022,0.0002,0.0072,0.264,0.0
Denmark,0.0126,0.0531,0.0496,0.4707,0.0027
Dennis_Ritchie,0.002,0.0005,0.0073,0.2355,0.0
"Denver,_Colorado",0.0044,0.0047,0.011,0.3776,0.0002
Derby,0.0077,0.0025,0.0082,0.317,0.0001
Desert,0.0057,0.0123,0.02,0.4211,0.0006
Desert_locust,0.0114,0.0005,0.0073,0.2745,0.0
Desmond_Tutu,0.0072,0.0025,0.0086,0.3333,0.0001
Despotism,0.002,0.0035,0.0095,0.3466,0.0
"Detroit,_Michigan",0.0138,0.0079,0.0133,0.3868,0.0016
Devonian,0.0084,0.0057,0.0103,0.3513,0.0005
Diabetes_mellitus,0.0052,0.003,0.0084,0.3182,0.0002
Diamond,0.0178,0.0151,0.0153,0.3701,0.0025
Diamond_cut,0.0064,0.0002,0.0072,0.1761,0.0
Diamond_simulant,0.0094,0.0007,0.0074,0.2716,0.0006
Diane_Keaton,0.003,0.0005,0.0072,0.2182,0.0
Dice,0.0079,0.002,0.0082,0.3173,0.0002
Dido_and_Aeneas,0.003,0.0012,0.0077,0.2976,0.0
Diego_Garcia,0.0057,0.0007,0.0076,0.3028,0.0
Diego_Maradona,0.0047,0.0012,0.0079,0.3196,0.0
Diego_Velázquez,0.0091,0.0017,0.008,0.3126,0.0001
Differential_equation,0.003,0.0042,0.009,0.3228,0.0001
Dik-dik,0.0037,0.0002,0.0072,0.246,0.0
Dill,0.0119,0.0025,0.008,0.295,0.0003
Dilophosaurus,0.003,0.0005,0.0073,0.2251,0.0
Dimetrodon,0.003,0.0012,0.0078,0.3027,0.0
Dingo,0.0025,0.0017,0.0084,0.3381,0.0
Dinosaur,0.0222,0.02,0.0153,0.3609,0.0089
Diplodocus,0.0062,0.0022,0.0079,0.2693,0.0001
Distilled_beverage,0.0044,0.0017,0.0079,0.3049,0.0
Dixie_Mission,0.0032,0.0002,0.0072,0.2734,0.0
Djibouti,0.0383,0.0116,0.0192,0.3753,0.0002
Dmitri_Mendeleev,0.0054,0.0022,0.0084,0.3288,0.0002
Doctor_Who,0.0121,0.0089,0.0105,0.3335,0.0011
Dodo,0.0067,0.0027,0.0084,0.3162,0.0014
Dog,0.0096,0.0116,0.0115,0.342,0.0012
Doha,0.004,0.0022,0.0091,0.3442,0.0001
Dolphin,0.0067,0.0074,0.0132,0.388,0.001
Domesday_Book,0.004,0.0049,0.0099,0.3466,0.0001
Domestic_goat,0.0084,0.0079,0.0111,0.3457,0.0003
Domesticated_turkey,0.0059,0.0005,0.0073,0.2813,0.0001
Dominica,0.0074,0.0099,0.0183,0.4041,0.0003
Dominican_Republic,0.0077,0.0138,0.0183,0.4014,0.0002
Donald_Bradman,0.0037,0.001,0.0074,0.2509,0.0
Donald_Duck,0.0133,0.0007,0.0073,0.2365,0.0
Donald_Knuth,0.0025,0.0007,0.0073,0.2547,0.0001
Doom,0.0047,0.0012,0.0076,0.2727,0.0006
Dorset,0.0106,0.0077,0.0108,0.349,0.0008
Double-decker_bus,0.0054,0.001,0.0074,0.2718,0.0
Double_bass,0.0062,0.003,0.0083,0.3089,0.0001
Douglas_Adams,0.0072,0.0032,0.0085,0.3165,0.0003
Dove,0.0059,0.0044,0.0091,0.3368,0.0008
Dover,0.0057,0.003,0.0084,0.3037,0.0001
Down_syndrome,0.0015,0.002,0.0078,0.3042,0.0
Dr._Seuss,0.0044,0.0007,0.0074,0.2844,0.0004
Drama,0.0035,0.0086,0.013,0.3792,0.0002
Drawing,0.0037,0.0037,0.0087,0.3232,0.0001
Dresden,0.0096,0.0059,0.0107,0.3555,0.0002
Drinking_water,0.0126,0.0054,0.0104,0.3555,0.0003
Drosera_anglica,0.0032,0.0002,0.0072,0.2329,0.0002
Drosophila_melanogaster,0.0047,0.001,0.0079,0.306,0.0001
Drought,0.0037,0.0121,0.0156,0.381,0.0003
Drum_and_bass,0.004,0.0012,0.0085,0.3466,0.001
Du_Fu,0.0067,0.001,0.0077,0.3055,0.0
Dualism_(philosophy_of_mind),0.004,0.0002,0.0072,0.248,0.0002
Dubai,0.0111,0.0057,0.011,0.35,0.0002
Dublin,0.0106,0.016,0.0167,0.387,0.0011
Dubnium,0.0047,0.0017,0.0079,0.2671,0.0
Dundee,0.0131,0.0042,0.0093,0.3311,0.0011
Dundee_United_F.C.,0.0032,0.0005,0.0073,0.2676,0.0
Dune,0.0069,0.0025,0.0081,0.301,0.0002
Dunnock,0.0027,0.0005,0.0072,0.2009,0.0
Duran_Duran,0.0081,0.0017,0.0077,0.2894,0.0001
Durham,0.0037,0.002,0.0079,0.2897,0.0
Durham_Cathedral,0.003,0.0015,0.0077,0.2864,0.0
Durian,0.0081,0.0002,0.0072,0.2718,0.0
Dutch_language,0.0128,0.0242,0.0251,0.4277,0.003
Dwight_D._Eisenhower,0.0101,0.0081,0.0112,0.341,0.0006
Dysprosium,0.0059,0.0022,0.0082,0.2695,0.0
E._E._Cummings,0.0052,0.0017,0.0078,0.3017,0.0002
ECHELON,0.0133,0.0005,0.0075,0.307,0.0
EMD_F7,0.0007,0.0007,0.0074,0.2782,0.0
Eagle,0.0086,0.0074,0.0104,0.3417,0.001
Eagle_Scout_(Boy_Scouts_of_America),0.002,0.0017,0.0077,0.2867,0.0003
Earl_of_Shaftesbury,0.001,0.0005,0.0073,0.279,0.0
Earth,0.0291,0.0644,0.0444,0.4647,0.0162
Earth's_atmosphere,0.0067,0.0281,0.0218,0.3863,0.001
Earthquake,0.0049,0.0193,0.0185,0.3929,0.0009
East-West_Schism,0.0057,0.0025,0.0097,0.3462,0.0
EastEnders,0.0069,0.0015,0.0078,0.2964,0.0001
East_Africa,0.0116,0.0101,0.0156,0.3742,0.0005
East_Flemish,0.0032,0.0012,0.0076,0.2997,0.0
East_Timor,0.0109,0.0094,0.0187,0.3885,0.0003
Easter_Island,0.0044,0.003,0.0095,0.3453,0.0001
Eastern_Orthodox_Church,0.0084,0.0138,0.0215,0.4043,0.0005
Ebony,0.0047,0.002,0.008,0.3039,0.0001
Ecology,0.0119,0.0121,0.013,0.3661,0.0011
Economic_inequality,0.0054,0.0007,0.0078,0.3222,0.0
Economics,0.0094,0.0252,0.0233,0.4072,0.0015
Economy_of_Africa,0.0249,0.0007,0.0081,0.3305,0.0001
Economy_of_India,0.0099,0.002,0.0078,0.275,0.0001
Economy_of_Pakistan,0.0114,0.0005,0.0073,0.2605,0.0
Economy_of_the_Republic_of_Ireland,0.0151,0.0002,0.0076,0.3126,0.0
Ecuador,0.0104,0.0178,0.0223,0.4174,0.001
Edema,0.001,0.0022,0.0079,0.2853,0.0
Edgar_Allan_Poe,0.0123,0.0044,0.0094,0.342,0.0007
Edible_salt,0.0052,0.0027,0.0083,0.3058,0.0001
Edinburgh,0.0183,0.018,0.0173,0.3877,0.0021
Edmond_Halley,0.0049,0.0022,0.0083,0.3221,0.0001
Edmund_Burke,0.0104,0.0037,0.0095,0.3457,0.0002
Edmund_Hillary,0.0035,0.001,0.0075,0.2809,0.0
Education,0.0096,0.017,0.0225,0.4289,0.002
Education_in_the_United_States,0.0198,0.0007,0.0093,0.3737,0.0012
Educational_psychology,0.0037,0.0007,0.0076,0.3074,0.0
Edward_Gibbon,0.0027,0.0037,0.0097,0.3378,0.0001
Edward_III_of_England,0.0077,0.0084,0.0113,0.3312,0.0002
Edward_II_of_England,0.003,0.003,0.0085,0.3111,0.0003
Edward_IV_of_England,0.0042,0.0032,0.0084,0.2906,0.0
Edward_I_of_England,0.0054,0.0072,0.0106,0.3363,0.0001
Edward_Jenner,0.001,0.0012,0.0078,0.3164,0.0006
Edward_Teller,0.0079,0.0017,0.0079,0.3016,0.0001
Edward_VIII_of_the_United_Kingdom,0.0099,0.0037,0.0089,0.3098,0.0001
Edward_VII_of_the_United_Kingdom,0.0119,0.0077,0.0104,0.3281,0.0003
Edward_VI_of_England,0.0084,0.0049,0.0096,0.3215,0.0002
Edward_V_of_England,0.0025,0.002,0.008,0.2904,0.0
Edward_the_Confessor,0.0044,0.0054,0.0109,0.3566,0.0001
Edwin_of_Northumbria,0.0035,0.0017,0.0077,0.2862,0.0002
Effect_of_Hurricane_Katrina_on_New_Orleans,0.0047,0.0007,0.0074,0.2666,0.0
Effects_of_global_warming,0.0114,0.0005,0.0073,0.2794,0.0
Effects_of_nuclear_explosions,0.004,0.0002,0.0073,0.2821,0.0
Egg_(food),0.0057,0.0047,0.0093,0.335,0.0003
Egypt,0.0173,0.083,0.066,0.4764,0.0045
Egyptian_pyramids,0.0012,0.0015,0.0084,0.3322,0.0
Eilmer_of_Malmesbury,0.001,0.0005,0.0073,0.2513,0.0
Einsteinium,0.0052,0.0022,0.0081,0.2906,0.0001
El_Aaiún,0.0015,0.0005,0.0081,0.3331,0.0
El_Lissitzky,0.0094,0.0005,0.0072,0.2407,0.0
El_Niño-Southern_Oscillation,0.0079,0.0044,0.0098,0.3513,0.0001
El_Salvador,0.0094,0.0086,0.0172,0.4049,0.0004
Elagabalus,0.0025,0.0005,0.008,0.3261,0.0
Eldfell,0.0042,0.0005,0.0075,0.3097,0.0003
Election,0.0074,0.0084,0.0127,0.3643,0.0002
Electric_charge,0.0062,0.0101,0.0119,0.3418,0.0006
Electric_field,0.0037,0.0067,0.0104,0.3333,0.0001
Electrical_engineering,0.0109,0.0032,0.0086,0.329,0.0003
Electrical_resistance,0.002,0.0062,0.0099,0.3244,0.0
Electricity,0.0094,0.0249,0.0215,0.4059,0.0021
Electromagnetic_radiation,0.0074,0.0104,0.0123,0.35,0.0004
Electron,0.0054,0.0437,0.0292,0.4031,0.0014
Electron_beam_welding,0.0012,0.0005,0.0075,0.2882,0.0
Electronics,0.0035,0.0116,0.0177,0.4169,0.0005
Elementary_algebra,0.0012,0.0005,0.0073,0.2671,0.0
Elementary_arithmetic,0.0015,0.0002,0.0072,0.2547,0.0
Elementary_group_theory,0.0007,0.0002,0.0072,0.2319,0.0
Eleocharis_dulcis,0.0022,0.0002,0.0072,0.2468,0.0
Elephant,0.0099,0.0104,0.0125,0.363,0.0012
Elephant_bird,0.0025,0.0002,0.0072,0.1937,0.0
Elephant_shrew,0.0022,0.0002,0.0074,0.2991,0.0003
Elias_Ashmole,0.004,0.0002,0.0072,0.2422,0.0
Eliminative_materialism,0.003,0.0002,0.0072,0.1987,0.0
Elizabeth_Fry,0.003,0.0005,0.0073,0.2841,0.0
Elizabeth_II_of_the_United_Kingdom,0.0247,0.0301,0.0257,0.405,0.0039
Elizabeth_I_of_England,0.0133,0.0143,0.0146,0.3572,0.0007
Elvis_Presley,0.0121,0.0067,0.0115,0.3778,0.0009
Emacs,0.0042,0.0012,0.0075,0.2505,0.0
Emanuel_Swedenborg,0.0069,0.0012,0.0082,0.3359,0.0002
Emirate,0.0017,0.0017,0.0091,0.3416,0.0
Emotion,0.0032,0.0037,0.0089,0.3322,0.0001
Emperor_Penguin,0.003,0.0005,0.0074,0.3049,0.0
Empiricism,0.0042,0.0064,0.0108,0.349,0.0001
Employment,0.0037,0.0151,0.0133,0.3522,0.0004
Emu,0.0037,0.0017,0.0085,0.3438,0.0004
Enceladus_(moon),0.0047,0.002,0.0082,0.3156,0.0
Encyclopædia_Britannica,0.0084,0.003,0.0086,0.3303,0.0004
Energy,0.0151,0.0202,0.0181,0.3934,0.0028
Engineering,0.0049,0.0168,0.0165,0.388,0.0007
England,0.0425,0.1701,0.0947,0.5172,0.0363
England_expects_that_every_man_will_do_his_duty,0.0037,0.0002,0.0072,0.2379,0.0
English_Channel,0.0081,0.0138,0.0189,0.4089,0.0008
English_Reformation,0.0057,0.0032,0.0088,0.3098,0.0
English_language,0.0291,0.1373,0.107,0.5182,0.0152
English_peasants'_revolt_of_1381,0.0025,0.0015,0.0078,0.2944,0.0
English_poetry,0.0111,0.002,0.0079,0.3,0.0005
Enigma_machine,0.0042,0.0012,0.0086,0.3477,0.0003
Entropy,0.0042,0.0054,0.0096,0.3325,0.0004
Environmental_science,0.0047,0.0017,0.0078,0.2951,0.0
Enzyme_kinetics,0.0027,0.0005,0.0075,0.288,0.0
Eocene,0.0072,0.0059,0.0096,0.3363,0.0002
Epaminondas,0.0017,0.0007,0.0076,0.3081,0.0
Epazote,0.0111,0.0027,0.008,0.2652,0.0
Epic_of_Gilgamesh,0.0022,0.0025,0.0091,0.3441,0.0
Episcopal_polity,0.0059,0.0025,0.0084,0.305,0.0
Equal_Protection_Clause,0.0057,0.0002,0.0072,0.2445,0.0
Equatorial_Guinea,0.0091,0.0116,0.0221,0.4102,0.0005
Erbium,0.0057,0.0025,0.0082,0.2836,0.0
Eric_Clapton,0.0084,0.002,0.0085,0.3367,0.0005
Erie_Canal,0.004,0.0022,0.0107,0.3848,0.0001
Eris_(dwarf_planet),0.0057,0.0015,0.0078,0.2812,0.0
Eritrea,0.0244,0.0111,0.0173,0.3692,0.0007
Ernest_Hemingway,0.0104,0.0052,0.0105,0.3594,0.0007
Ernest_Rutherford,0.0049,0.0035,0.009,0.3331,0.0002
Eruption_column,0.0025,0.0012,0.0075,0.2535,0.0
Erwin_Rommel,0.0079,0.003,0.0099,0.3518,0.0003
Eskimo,0.0022,0.0015,0.0076,0.2868,0.0
Esperanto,0.0133,0.0035,0.0098,0.3528,0.0003
Essential_oil,0.0057,0.0049,0.0088,0.2831,0.0003
Estonia,0.0104,0.0168,0.0276,0.4145,0.0002
Ethanol,0.0109,0.0121,0.0128,0.3576,0.001
Ethics,0.0049,0.0136,0.015,0.3714,0.0005
Ethiopia,0.0319,0.0294,0.0275,0.4091,0.0021
Ethiopian_Wolf,0.0022,0.0002,0.0072,0.2647,0.0
Ethnic_group,0.0057,0.0084,0.016,0.4086,0.0003
Euclid,0.0027,0.0067,0.0103,0.3344,0.0003
Euclidean_geometry,0.002,0.0032,0.0086,0.3142,0.0
Eukaryote,0.0025,0.0062,0.0111,0.3481,0.0
Euphrates,0.0052,0.0069,0.0131,0.3658,0.0001
Eurasian_Collared_Dove,0.004,0.0005,0.0073,0.2535,0.0
Eurasian_Eagle_Owl,0.0035,0.0005,0.0073,0.2685,0.0
Eurasian_Jay,0.0037,0.0002,0.0072,0.2299,0.0
Euro,0.0123,0.0232,0.0329,0.4319,0.0007
Europe,0.0393,0.2091,0.1448,0.5469,0.0293
European_Goldfinch,0.0032,0.0005,0.0073,0.2487,0.0
European_Parliament,0.0084,0.0104,0.0136,0.3695,0.0001
European_Space_Agency,0.0114,0.0049,0.0112,0.3632,0.0004
European_Union,0.0328,0.058,0.0654,0.4761,0.0052
Europium,0.0052,0.0025,0.0082,0.2784,0.0
Eurovision_Song_Contest,0.0109,0.002,0.0087,0.336,0.0003
Eva_Perón,0.0094,0.0007,0.0074,0.2904,0.0
Evolution,0.0175,0.0274,0.0207,0.401,0.0056
Evolutionarily_stable_strategy,0.0012,0.0005,0.0073,0.249,0.0
Existentialism,0.0057,0.0037,0.0091,0.3379,0.0002
Exploration_of_Mars,0.0049,0.0002,0.0072,0.2162,0.0
Explorer_I,0.002,0.0012,0.0075,0.2726,0.0
Expressionism,0.003,0.0027,0.0091,0.3457,0.0
Extinct_birds,0.0096,0.0002,0.0072,0.2402,0.0008
Extinction,0.0096,0.0128,0.0137,0.3748,0.0013
Extrasolar_planet,0.0054,0.0084,0.0102,0.2981,0.0019
Extraterrestrial_life,0.0123,0.004,0.0085,0.2991,0.0004
Eye,0.0077,0.0128,0.0123,0.3528,0.0017
Eye_(cyclone),0.0022,0.0012,0.0076,0.2835,0.0
Eyelid,0.0005,0.0007,0.0074,0.2622,0.0
Ezra_Pound,0.0079,0.0054,0.009,0.3118,0.0006
F-35_Lightning_II,0.0054,0.0007,0.0078,0.318,0.0
F-4_Phantom_II,0.0052,0.0005,0.0073,0.271,0.0
FIFA,0.0064,0.0052,0.0119,0.3701,0.0001
FIFA_World_Cup,0.0101,0.0057,0.014,0.3885,0.0002
Fair_Isle,0.002,0.0007,0.0075,0.2945,0.0
Falcon,0.004,0.002,0.008,0.2996,0.0001
Falkland_Islands,0.0109,0.0067,0.013,0.374,0.0003
Family,0.0027,0.0062,0.0113,0.3696,0.0001
Famine,0.0156,0.0099,0.014,0.374,0.0009
Faroe_Islands,0.0084,0.0079,0.0162,0.3935,0.0006
Fascism,0.0106,0.0126,0.0153,0.3726,0.0005
Fashion,0.0064,0.0044,0.0106,0.3666,0.0005
Fatty_acid,0.0042,0.0091,0.011,0.3393,0.0007
Fauna_of_Australia,0.0178,0.0002,0.0072,0.2251,0.0011
Feather,0.0042,0.0069,0.01,0.3298,0.0003
Fed_Cup,0.0096,0.0007,0.0073,0.2444,0.0
Federal_Bureau_of_Investigation,0.0052,0.0114,0.0145,0.3908,0.0008
Federated_States_of_Micronesia,0.0059,0.003,0.0128,0.3911,0.0001
Fedora_Core,0.002,0.0007,0.0073,0.2426,0.0
Feldspar,0.0035,0.0035,0.0086,0.3196,0.0
Felice_Beato,0.0067,0.0002,0.008,0.3401,0.0001
Felix_Mendelssohn,0.0062,0.004,0.0104,0.3605,0.0002
Felix_the_Cat,0.0054,0.0005,0.0072,0.2286,0.0
Fencing,0.0042,0.0015,0.0079,0.3156,0.0
Fennel,0.0156,0.004,0.0084,0.2863,0.0004
Ferdinand_Magellan,0.0086,0.0037,0.0102,0.3529,0.0003
Ferdinandea,0.0015,0.0002,0.0072,0.2365,0.0
Fermi_paradox,0.0079,0.0007,0.0074,0.2802,0.0
Fermium,0.0047,0.0017,0.0079,0.2646,0.0
Fern,0.0042,0.0054,0.0096,0.3363,0.0004
Fertile_Crescent,0.0079,0.0017,0.0093,0.3447,0.0
Fertilizer,0.0057,0.0101,0.0135,0.3662,0.0005
Ffestiniog_Railway,0.0027,0.0002,0.0072,0.1697,0.0
Fiberglass,0.002,0.0015,0.0077,0.306,0.0
Fiction,0.004,0.0064,0.0098,0.3409,0.0002
Fidel_Castro,0.0114,0.0047,0.0097,0.3366,0.0001
Fieldfare,0.004,0.0002,0.0072,0.2163,0.0
Fiji,0.0069,0.0101,0.0145,0.3709,0.0001
Film,0.0047,0.0319,0.0238,0.425,0.0018
Finance,0.002,0.0109,0.017,0.4165,0.0008
Fine_art,0.003,0.0025,0.0102,0.379,0.0001
Finland,0.018,0.0348,0.036,0.4419,0.0021
Fire,0.0121,0.0081,0.0115,0.3601,0.0009
Firearm,0.0037,0.0035,0.0085,0.3222,0.0001
Firefly_(TV_series),0.004,0.0015,0.0075,0.247,0.0001
First_Council_of_Nicaea,0.0054,0.0015,0.0085,0.3321,0.0
First_Crusade,0.0072,0.0042,0.01,0.3436,0.0002
First_Macedonian_War,0.0015,0.0012,0.0075,0.2628,0.0
First_Transcontinental_Railroad,0.0064,0.0027,0.009,0.3462,0.0004
Fish,0.0032,0.0338,0.0251,0.4156,0.0011
Fishing,0.0116,0.0195,0.0195,0.399,0.0024
Flag_of_Australia,0.0032,0.0007,0.0081,0.3412,0.0
Flag_of_Belarus,0.0025,0.0005,0.0075,0.3044,0.0
Flag_of_Hong_Kong,0.0032,0.0002,0.0074,0.3041,0.0
Flag_of_India,0.0052,0.0007,0.0084,0.343,0.0
Flag_of_Mexico,0.003,0.0007,0.0078,0.3221,0.0
Flag_of_South_Africa,0.0032,0.0007,0.0079,0.3253,0.0
Flag_of_the_Republic_of_China,0.004,0.0007,0.0077,0.3148,0.0
Flamingo,0.0037,0.0015,0.0078,0.2892,0.0
Flanders,0.0111,0.0089,0.0154,0.3917,0.0007
Flat_Earth,0.0081,0.0005,0.0076,0.3175,0.0002
Flemish_(linguistics),0.0022,0.0007,0.0077,0.3144,0.0
Flemish_dialects,0.0022,0.0007,0.0074,0.2818,0.0
Flemish_people,0.0064,0.0007,0.0078,0.3188,0.0
Flood,0.0109,0.0104,0.012,0.356,0.0009
Floppy_disk,0.0037,0.0032,0.0083,0.3107,0.0003
Florence_Nightingale,0.0064,0.0017,0.0082,0.3285,0.0001
Florida,0.016,0.0363,0.0245,0.4154,0.0043
Florida_East_Coast_Railway,0.0042,0.0007,0.0073,0.2274,0.0003
Flower,0.0064,0.0193,0.016,0.3717,0.0011
Fluorine,0.0086,0.0069,0.011,0.3347,0.0001
Flute,0.0057,0.0062,0.0104,0.3473,0.0006
Folic_acid,0.0064,0.0025,0.008,0.2947,0.0001
Folk_music,0.0081,0.0128,0.0153,0.3775,0.0009
Folklore,0.0044,0.0109,0.0138,0.3738,0.0005
Food,0.0101,0.0148,0.0165,0.3927,0.0011
Football,0.0151,0.0074,0.0145,0.3879,0.0008
Football_(soccer),0.0052,0.0514,0.0488,0.4656,0.0012
Force,0.004,0.0072,0.0105,0.3479,0.0002
Forest,0.0022,0.0146,0.0173,0.4017,0.0002
Formic_acid,0.0057,0.0015,0.0079,0.3116,0.0001
Formula_One,0.0207,0.0059,0.0116,0.3662,0.0009
Forrest_Gump,0.0037,0.0012,0.0076,0.2846,0.0
Forth_Bridge_(railway),0.0032,0.0007,0.0074,0.2712,0.0003
Forth_Road_Bridge,0.0027,0.0002,0.0072,0.2133,0.0
Fossil,0.0059,0.0264,0.0183,0.3784,0.0008
Fossil_fuel,0.0025,0.0081,0.0119,0.3583,0.0001
Fossil_record,0.0059,0.0054,0.0095,0.3247,0.0001
Fourteenth_Amendment_to_the_United_States_Constitution,0.0035,0.0035,0.0092,0.3236,0.0003
Fox,0.0049,0.0052,0.0104,0.3597,0.0007
Frédéric_Chopin,0.0084,0.0027,0.0093,0.3449,0.0001
Fractal,0.0035,0.0017,0.0079,0.3113,0.0001
France,0.021,0.2193,0.1534,0.5453,0.0136
France_in_the_American_Revolutionary_War,0.0062,0.0002,0.0072,0.2859,0.0
Francis_Bacon,0.0052,0.004,0.0101,0.3616,0.0001
Francis_Crick,0.0077,0.0027,0.0099,0.3675,0.0004
Francis_Drake,0.0049,0.0025,0.009,0.3427,0.0001
Francis_of_Assisi,0.0042,0.0022,0.0083,0.3222,0.0006
Francisco_Goya,0.003,0.0015,0.0078,0.3047,0.0
Francium,0.0084,0.0025,0.0083,0.2839,0.0001
Frank_Lloyd_Wright,0.0032,0.0022,0.008,0.3155,0.0001
Frankenstein,0.0064,0.0035,0.0086,0.323,0.0002
Frankfurt,0.0121,0.0091,0.0135,0.3671,0.0006
Franklin_D._Roosevelt,0.0178,0.0133,0.0165,0.3782,0.0006
Franklin_Pierce,0.0054,0.0017,0.008,0.2992,0.0
Franks,0.0064,0.0106,0.0197,0.3939,0.0003
Franz_Kafka,0.0064,0.0035,0.0097,0.3562,0.0005
Franz_Schubert,0.0032,0.003,0.009,0.3396,0.0001
Frederick_Douglass,0.0067,0.0015,0.008,0.3166,0.0001
"Frederick_II,_Holy_Roman_Emperor",0.0057,0.0025,0.0087,0.3293,0.0
Frederick_II_of_Prussia,0.0086,0.002,0.0083,0.3257,0.0002
Freetown,0.0044,0.0012,0.0086,0.3436,0.0
French_Guiana,0.0042,0.0072,0.0167,0.3995,0.0
French_Open_(tennis),0.0027,0.0044,0.0092,0.3315,0.0
French_Polynesia,0.002,0.004,0.0097,0.3427,0.0
French_Revolution,0.0047,0.0227,0.0254,0.4195,0.0003
French_Southern_and_Antarctic_Lands,0.0035,0.0042,0.0106,0.3295,0.0
French_language,0.021,0.0746,0.0693,0.4935,0.0045
Fresh_water,0.0027,0.0074,0.0106,0.3488,0.0002
Friedrich_Nietzsche,0.0121,0.0067,0.0121,0.3702,0.0008
Frog,0.0101,0.0052,0.009,0.3182,0.0015
Fruit,0.0101,0.0254,0.0197,0.3886,0.0025
